epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,580.086,1.23713,1.53919,0.02996,0.98482,0.8,0.96167,0.4824,1.79842,1.63954,0.06874,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,597.434,1.28134,1.60065,0.03059,0.98197,0.8,0.92,0.52706,1.83585,1.58735,0.06753,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,612.809,1.28667,1.69509,0.02795,0.98629,0.8,0.90611,0.49867,1.83801,1.65831,0.06538,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,627.907,1.30399,1.57461,0.02861,0.8261,0.95661,0.96167,0.52961,1.83432,1.52303,0.06525,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,643.14,1.28086,1.55518,0.0296,0.97415,0.8,0.93786,0.48922,1.77757,1.67982,0.06322,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,659.476,1.29625,1.39873,0.02807,0.82913,1,0.96167,0.51847,1.83904,1.59144,0.06483,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,674.83,1.27466,1.46066,0.02908,1,0.97515,0.995,0.46125,1.91807,1.77738,0.06865,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,689.959,1.2714,1.5099,0.02914,0.98866,1,0.995,0.57817,1.79624,1.67383,0.06227,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,705.08,1.2117,1.42996,0.02737,0.92491,1,0.995,0.57557,1.65207,1.71406,0.05609,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,721.474,1.22107,1.40267,0.0251,0.88491,1,0.995,0.58408,1.64439,1.65425,0.05665,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,737.008,1.12639,1.49459,0.03936,1,0.95182,0.995,0.49146,1.69197,1.41915,0.06018,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,751.927,1.22302,1.28535,0.0409,1,0.97055,0.995,0.47148,1.86461,1.37029,0.06713,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,766.799,1.04952,1.10191,0.03439,1,0.98037,0.995,0.49309,1.87026,1.4813,0.06656,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,782.4,1.16896,1.12817,0.03723,1,0.99257,0.995,0.56284,1.6233,1.36642,0.05629,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,797.997,1.08568,1.03475,0.03661,0.99311,1,0.995,0.55089,1.70493,1.45718,0.06007,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,812.809,0.96677,0.95201,0.03263,0.98918,1,0.995,0.56673,1.52439,1.67716,0.05161,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,827.723,1.01527,0.94443,0.03404,0.98854,1,0.995,0.57624,1.67036,1.26995,0.05771,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,842.845,1.03757,0.93842,0.03764,0.98937,1,0.995,0.58681,1.59831,1.15888,0.05541,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,859.073,1.22142,1.05423,0.0427,0.99107,1,0.995,0.56074,1.59355,1.12109,0.05499,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,874.601,0.98405,0.8973,0.03449,1,0.96003,0.995,0.57402,1.59492,1.0627,0.05426,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
